私,わたし,I
試合,しあい,"Game, Match"
意見,いけん,Opinion
「お」話,「お」はなし,"Speech, Story"
交通,こうつう,"Transportation, Traffic"
最近,さいきん,"Recently, these days"
だぶん,だぶん,"Probably, perhaps, maybe"
きっと,きっと,Surely
ほんとうに,ほんとうに,Really?
そんあに,そんなに,Not so much
国,くに,Nation
着ます,きます,"Put on (a shirt, etc)"
はきます,はきます,"Put on (shoes, trousers, etc)"
かぶります,かぶります,"Put on (a hat, etc)"
かけます,かけます,Put on (glasses)
生まれます,うまれます,Be born
帽子,ぼうし,"Hat, cap"
眼鏡,めがね,Glasses
よく,よく,Often
おめでとうございます,おめでとうございます,Congradulations
家賃,やちん,House rent
和室,わしつ,Japanese style room
押し入れ,おしいれ,Japanese style closet
布団,ふとん,Japanese style mattress and quilt
上着,うわぎ,Jacket
手袋,てふくろ,Gloves
聞きます,ききます,Ask
回します,まわします,Turn
引きます,ひきます,Pull
変えます,かえます,Change
触ります,さわります,Touch
出ます,でます,Come out
動きます,うごきます,Moving or working (like a watch)
歩きます,あるきます,Walk
渡ります,わたります,"Cross, pass [a bridge]"
気をつけます,きをつけます,"Pay attention, take care"
引っ越しします,ひっこしします,Move (from one house to another)
電気屋,でんきや,"Electric store, Electrician"
音,おと,Sound
機械,きかい,Machine
つまみ,つまみ,Knob
故障,こしょう,Breakdown
道,みち,"Road, way"
交差点,こうさてん,"Crossroad, crossing"
信号,しんごう,Traffic light
角,かど,Corner
橋,はし,Bridge
駐車場,きゅうしゃじょう,"Parking lot, car park"
正月,しょうがつ,New year's Day
ごちそうさま,ごちそうさま,That was delicious
建物,たてもの,Building
外国人登録証,がいこくじんとうろくしょう,Alien Registration card
歩道,ほどう,Sidewalk
車道,しゃどう,Road
高速道路,こうそくどうろ,"Expressway, motorway"
通り,とおり,Street
横断歩道,おうだんほどう,Pedestrain Crossing
歩道橋,ほどうきょう,Pedestrain Bridge
信号,しんごう,Traffic light
坂,さか,Slope
踏切,ふみきり,Railroad crossing
止まれ,とまれ,Stop
進入禁止,しんにゅうきんし,No entry
一方通行,いっぽうつうこう,One way
駐車禁止,ちゅうしゃきんし,No parking
右折禁止,うせつきんｋし,No turning right
くれます,くれます,Give (me)
連れて行きます,つれていきます,Take (someone）
連れて来ます,つれてきます,Bring (someone)
送ります,おくります,"Escort (someone), go with"
紹介します,しょうかいします,Introduce
案内します,あんないします,"Show around, show the way"
説明します,せつめいします,Explain
いれます,いれます,Make (coffee)
おじいさん<br>おじいちゃん,おじいさん<br>おじいちゃん,Grandfather / Old man
おばあさん<br>おばあちゃん,おばあさん<br>おばあちゃん,Grandmother/ Old woman
準備,じゅんび,Preperation
意味,いみ,Meaning
貸子,かし,"Sweets, Snacks"
全部,ぜんぶ,All
自分で,じぶんで,By ones self
ほかに,ほかに,Besides
弁当,べんと,Lunch Box
お年玉,おとしだま,New year's gift (money)
入学祝い,にゅがくいわい,Admission gift
卒魚祝い,そつぎょいわい,Graduation gift
結婚祝い,けっこんいわい,Wedding gift
出産祝い,しゅっさんいわい,Birth gift
お中元,おちゅげん,Gift to person you have respect
お香典,おこうでん,Condolence money
お見舞い,おみまい,Present given to a sick person
考えます,かんがえます,"Think, Consider"
着きます,つきます,Arrive
留学します,りゅうがくします,Study abroad
取ります,とります,Grow old
田舎,いなか,"Countryside, hometown"
大使館,たいしかん,Embassy
億,おく,Hundred million
もし「～たら」,もし「～たら」,If ~
いくら「～ても」,いくら「～でも」,"However~, even if~"
転勤,てんきん,Transfer
赤ちゃん,あかちゃん,Baby
生まれます,うまれます,Be born
保育園,ほいくえん,Nursery school
幼稚園,ようちえん,Kindergarten
学校に入ります,学校に入ります,Enter school
大学院,だいがくいん,Post graduate school
学校を出ます,がっこうをでます,Graduate from school
就職します,しゅうしょくします,Get a job
子どもが生まれます,こどもがうまれます,Have a child
離婚します,りこんします,Divorce
再婚します,さいこんします,Marry again
し事をやめます,しごとをやめます,Retire
死にます,しにます,Die
